trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.25, 'e': 0.7254232509901412}",25,0,-96.7343586570375,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
109,False,"{'a': 0.25, 'e': 0.7232502423798425}",25,12,-58.3853081734087,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
110,False,"{'a': 0.25, 'e': 0.721083743026607}",20,10,-28.44619409891007,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.25, 'e': 0.7189237334319262}",30,0,-211.0027555691442,"{0: 15, 1: 3, 2: 6, 3: 4, 4: 2}",0
112,False,"{'a': 0.25, 'e': 0.716770194155699}",20,0,-92.2150021591803,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
113,False,"{'a': 0.25, 'e': 0.7146231058160574}",20,0,-172.83241291191896,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
114,False,"{'a': 0.25, 'e': 0.7124824490891918}",20,0,-86.35967096124386,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.25, 'e': 0.7103482047091773}",20,0,-257.2427790067511,"{0: 7, 1: 0, 2: 7, 3: 2, 4: 4}",0
116,False,"{'a': 0.25, 'e': 0.7082203534678}",30,0,-198.47908561094593,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
117,False,"{'a': 0.25, 'e': 0.7060988762143844}",25,0,-112.50473610972425,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
118,False,"{'a': 0.25, 'e': 0.703983753855621}",20,0,-170.35520309524196,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
119,False,"{'a': 0.25, 'e': 0.701874967355394}",20,0,-133.60209859999296,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
120,False,"{'a': 0.25, 'e': 0.699772497734611}",20,0,-107.46326002035975,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
121,False,"{'a': 0.25, 'e': 0.697676326071031}",30,0,-80.1129999224641,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
122,False,"{'a': 0.25, 'e': 0.6955864334990951}",20,0,-109.84060513634415,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
123,False,"{'a': 0.25, 'e': 0.6935028012097558}",25,0,-138.289192559119,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
124,False,"{'a': 0.25, 'e': 0.6914254104503085}",25,0,-122.21840619593488,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
125,False,"{'a': 0.25, 'e': 0.6893542425242224}",25,0,-233.38268766569084,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
126,False,"{'a': 0.25, 'e': 0.6872892787909722}",20,0,-87.97376334519248,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
127,False,"{'a': 0.25, 'e': 0.6852305006658703}",35,0,-184.4486766995122,"{0: 21, 1: 6, 2: 4, 3: 1, 4: 3}",0
128,False,"{'a': 0.25, 'e': 0.6831778896198997}",25,0,-81.91200690757802,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
129,False,"{'a': 0.25, 'e': 0.6811314271795471}",25,0,-103.76178201865791,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
130,False,"{'a': 0.25, 'e': 0.6790910949266368}",20,0,-128.62155319059084,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
131,False,"{'a': 0.25, 'e': 0.6770568744981647}",30,21,-11.141192758370352,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.25, 'e': 0.6750287475861332}",25,0,-275.5067872170258,"{0: 10, 1: 2, 2: 6, 3: 3, 4: 4}",0
133,False,"{'a': 0.25, 'e': 0.6730066959373865}",20,0,-43.66689240585124,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
134,False,"{'a': 0.25, 'e': 0.6709907013534459}",30,0,-144.90042541990965,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
135,False,"{'a': 0.25, 'e': 0.6689807456903467}",20,0,-181.52156734999522,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
136,False,"{'a': 0.25, 'e': 0.6669768108584744}",25,0,-37.41791626803123,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.25, 'e': 0.6649788788224019}",20,0,-184.05160264279573,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
138,False,"{'a': 0.25, 'e': 0.6629869316007274}",25,0,-72.63740565246059,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
139,False,"{'a': 0.25, 'e': 0.6610009512659124}",30,10,-21.94208770166044,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
140,False,"{'a': 0.25, 'e': 0.6590209199441207}",20,13,-2.5127974236521453,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.25, 'e': 0.6570468198150569}",20,0,-88.58793068012073,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
142,False,"{'a': 0.25, 'e': 0.6550786331118064}",25,0,-245.55979778798567,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
143,False,"{'a': 0.25, 'e': 0.6531163421206756}",30,0,-149.13312988262504,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
